Group Description,Group Code
"Raising (farming) of chicken, broiler",01461
"Raising (farming) of chicken, layer",01462
"Raising (farming) of chicken, native",01463
Raising of duck broiler,01471
Raising of quail,01472
Raising of turkey,01473
Raising of pigeon,01474
Raising of game fowl,01475
Raising of duck layer,01476
"Raising of poultry (except chicken), n.e.c.",01479
Chicken egg production,01481
Duck egg production,01482
Quail egg production,01483
"Production of eggs, n.e.c.",01489
Sericulture (silkworm culture for the production of cocoon),01491
Apiary (bee culture for the production of honey),01492
Vermiculture,01493
Crocodile/alligator farming,01494
Rabbit farming,01495
"Raising of semi-domesticated or wild animals including birds, reptiles, insects (e.g. butterfly) and turtles",01496
Raising and breeding of cats and dogs,01497
Game propagation and breeding activities,01498
"Raising of other animals, n.e.c.",01499
Operation of irrigation systems through cooperatives,01511
Operation of irrigation systems through non-cooperatives,01512
"Planting, transplanting and other related activities",01520
"Plowing, seeding, weeding, thinning, pruning and similar services",01531
Fertilizer applications,01532
"Chemical and mechanical weed control, disease and pest control services",01533
"Services to establish crops, promote their growth and protect them from pests and diseases, n.e.c.",01534
"Harvesting, threshing, grading, bailing and related services",01540
Rental of farm machinery with drivers and crew,01550
Artificial insemination services,01561
Contract animal growing services on a fee basis,01562
"Egg-hatching, sex determination and other poultry services",01563
"Services to promote propagation, growth and output of animals",01564
Farm management services,01565
"Other support activities for animal production, n.e.c.",01569
"Preparation of crops for primary markets, i.e. cleaning, trimming, grading, disinfecting",01571
Cotton ginning,01572
Preparation of tobacco leaves,01573
"Preparation of coffee, cacao and cocoa beans",01574
Preparation of abaca fiber including stripping and drying,01575
"Seed processing for propagation, paddy rice",01581
"Seed processing for propagation, other crops",01589
Hunting and trapping wild animals in the forest,01701
Production of reptile skins or bird skins and other animal skins from hunting activities,01702
"Hunting, trapping and other related activities, n.e.c.",01709
"Growing of timber forest species (e.g. Gmelina, Eucalyptus, etc.), planting, replanting, transplanting, thinning and conserving of forest and timber tracts",02110
Operation of forest tree nurseries,02120
Production of roundwood for forest-based manufacturing industries,02201
"Production of roundwood used in an unprocessed form such as pit-props, fence posts and utility poles",02202
Firewood cutting & charcoal making in the forest,02203
"Gathering of non-wood forest products

This class includes gathering of non-wood forest products and other plants growing in the wild.
This class includes :
Gathering of wild growing materials :
mushrooms, truffles
berries
nuts
cork
lac and resins
balsams
vegetable hair
eelgrass
acorns, horse, chestnuts
mosses and lichens
This class excludes :
Managed production of any of these products (except of cork trees), see division 01;
Growing of mushrooms or truffles, see 0118;
Growing of berries and nuts, see 0129;
Gathering of fire wood, see 0220.",02300
"Support services to forestry

This includes the activities in support of forestry operation on a fee or contract basis :
This class includes :
Forestry service activities :
forestry inventories
forest management consulting services
timber evaluation
forest fire fighting and protection
forest pest control
Logging service activities : transport of logs within the forest
This class excludes operation of forest tree nurseries, see 021.",02400
"Ocean fishing, commercial (using vessels over 3 tons)",03111
"Coastal fishing, municipal (using vessels of less than 3 tons)",03112
Fish corral fishing,03113
"Catching fish, crabs and crustaceans in inland waters",03121
"Gathering shells and clams, edible, in inland waters",03122
"Other freshwater fishing activities, n.e.c.",03129
Support service activities incidental to fishing,03130
"Operation of freshwater fishpond, except fish breeding farms and nurseries",03211
Operation of   freshwater  fish pens and fish cage,03212
Operation of freshwater fish breeding farms and nurseries,03213
Culture of freshwater ornamental fish,03214
Other freshwater fish farming activities,03219
"Operation of marine fish tanks, pens, cage except fish breeding farms and nurseries in sea water",03221
Operation of marine fish breeding farms and nurseries,03222
Catching and culturing ornamental (aquarium) fish,03223
Gathering of fry,03224
Other marine fish farming activities,03229
Prawn culture in brackish water,03230
"Culture of freshwater crustaceans (except prawns), bivalves, and other mollusks",03241
"Culture of oysters, other bivalves and other mollusks in sea water",03242
Pearl culture,03251
Pearl shell gathering,03252
Seaweeds farming,03261
Gathering of laver and other seaweeds,03262
Frog farming,03291
Operation of marine worm farms,03292
"Other aquaculture activities, n.e.c",03299
"Mining of hard coal

This class includes :
Mining of hard coal : underground or surface mining, including mining through liquefaction methods
Cleaning, sizing, grading, pulverizing, compressing etc. of coal to classify, improve quality or facilitate transport
This class also includes recovery of hard coal from culm banks.
This class excludes :
Lignite mining, see 0520;
Peat digging and agglomeration of peat, see 0892;
Test drilling for coal mining, see 0990;
Support activities for hard coal mining, see 0990;
Coke ovens producing solid fuels, see 1910;
Manufacture of hard coal briquettes, see 1920;
Work performed to develop or prepare properties for coal mining, see 4312",05100
"Mining of lignite

This class includes :
Mining of lignite (brown coal): underground or surface mining, including mining through liquefaction methods
Washing, dehydrating, pulverizing, compressing of lignite to improve quality, facilitate, transport or storage
This class excludes :
Hard coal mining, see 0510;
Peat digging and agglomeration of peat, see 0892;
Test drilling for coal mining, see 0990;
Support activities for hard coal mining, see 0990;
Coke ovens producing solid fuels, see 1910;
Manufacture of hard coal briquettes, see 1920;
Work performed to develop or prepare properties for coal mining, see 4312.",05200
"Extraction of crude petroleum

This class includes :
Extraction of crude petroleum oils
Extraction of bituminous or oil shale and tar sand
Production of crude petroleum from bituminous shale and sand
Process to obtain crude oils; decantation, desalting, dehydration, stabilization, etc.
This class excludes :
Support activities for oil and gas extraction, see 0910;
Oil and gas exploration, see 0910;
Manufacture of refined petroleum products, see 1920;
Recovery of liquified petroelum gases in the refining of petroleum, see 1920;
Operation of pipelines, see 4930",06100
"Extraction of natural gas

This class includes :
Production of crude gaseous hydrocarbon (natural gas)
Extraction of condensates
Draining and separation of liquid hydrocarbon fractions
Gas desulphurization
This class also includes mining of hydrocarbon liquids, obtained through liquefaction or pyrolysis
This class excludes :
Support activities for oil and gas extraction, see 0910;
Oil and gas exploration, see 0910;
Manufacture of refined petroleum products, see 1920;
Recovery of liquified petroelum gases in the refining of petroleum, see 1920;
Manufacture of industrial gases, see 2011;
Operation of pipelines, see 4930.",06200
"Mining of iron ores

This class includes :
Mining of ores valued chiefly for iron content
Beneficiation and agglomeration of iron ores
This class excludes extraction and preparation of pyrites and pyrrhotite (except roasting), see 0891.",07100
"Mining of uranium and thorium ores

This class includes :
Mining of ores chiefly valued for uranium and thorium content: pitchblende etc.
Concentration of such ores
Production of yellow cake
This class excludes:
Enrichment of uranium and thorium ores, see 2011;
Production of uranium metal from pitchblende or other ores, see 2420;
Smelting and refining of uranium, see 2420.",07210
Gold ore mining,07221
Silver ore mining,07222
Mining of other precious metal ores,07229
Copper ore mining,07291
Chromite ore mining,07292
Manganese ore mining,07293
Nickel ore mining,07294
"Mining of other non-ferrous metal ores, n.e.c.",07299
Marble quarrying,08101
Limestone quarrying,08102
"Stone quarrying, except limestone and marble",08103
Clay quarrying,08104
Sand and gravel quarrying,08105
Silica sand and silica stone quarrying,08106
"Stone quarrying, clay and sand pits, n.e.c.",08109
Baryte mining,08911
Guano gathering,08912
Pyrite mining,08913
Rock phosphate mining,08914
Sulphur mining,08915
Other chemical and fertilizer mineral mining,08919
"Extraction of peat

This class includes :
Peat digging
Peat agglomeration
Preparation of peat to improve quality or facilitate transport or storage
This class excludes :
Service activities incidental to peat mining, see 0990;
Manufacture of articles of peat, see 2399",08920
"Extraction of salt

This class includes :
Extraction of salt from underground including by dissolving and pumping
Salt production by evaporation of sea water or other saline waters
Crushing, purification and refining of salt by the producer
This class excludes :
Processing of salt into food-grade salt, e.g. iodized salt, see 1079;
Potable water production by evaporation of saline water, see 3600.",08930
"Other mining and quarrying, n.e.c.

This class includes mining and quarrying of various minerals and materials : abrasive materials, asbestos, siliceous fossil meals, natural graphite, steatite (talc), feldspar etc.; gemstones, quartz, mica, etc.",08990
Oil and gas extraction activities on a fee or contract basis,09101
Oil and gas extraction activities not performed on a fee or contract basis,09102
"Support activities for other mining and quarrying

This class includes :
Support services on a fee or contract basis, required for mining activities of divisions 05, 07 & 08 :
exploration services, e.g. traditional prospecting methods, such as taking core samples and making geological observations as prospective sites
draining and pumping services, on a fee or contract basis
test drilling and test hole boring
This class excludes :
Operating mines or quarries on a contract or fee basis, see division 05,07,08;
Specialized repair of mining machinery, see 3312;
Geophysical surveying services, on a contract or fee basis, see 7110.",09900
"Slaughtering and meat packing

This class includes :
Operation of slaughterhouses engaged in killing, dressing or packing meat of cattle, hogs, sheep, goats, horses, poultry, rabbits, game or other animals including whales processed on land or on vessels specialized for this work
Production or by-products such as raw hides and skins
Production of pulled wool
Production of feathers and down",10110
"Production, processing and preserving of meat and meat products including tocino, tapa, ham, bacon, sausage, longanisa, corned beef, hotdog, meat loaf, and bologna",10121
"Production of fresh, chilled or frozen meat or poultry",10122
Rendering of lard and other edible fats of animal origin,10123
Production of flours and meals of meat or meat offal,10124
"Production, processing and preserving of meat and meat products, n.e.c.",10129
Canning/packing of fish and other marine products,10201
Drying of fish and other marine products,10202
Smoking of fish (tinapa) and other marine products,10203
Manufacture of fish paste (bagoong) and fish sauce (patis),10204
Processing of seaweeds; manufacture of agar-agar or carrageenan,10205
Production of fishmeal/prawn feeds,10206
"Manufacture of unprepared animal feeds from fish, crustaceans and mollusks and other aquatic animals",10207
"Processing, preserving and canning of fish, crustacean and mollusks, n.e.c.",10209
Canning/packing and preserving of fruits and fruit juices,10301
Canning/packing and preserving of vegetables and vegetable juices,10302
Manufacture of fruit and vegetable sauces (e.g. tomato sauce and paste),10303
Quick-freezing of fruits and vegetables,10304
Manufacture of potato flour and meal,10305
Roasting of nut or manufacture of nut foods and pastes,10306
"Manufacture of perishable prepared foods of fruit and vegetables, such as: salad, peeled or cut vegetables, tofu (bean curd)",10307
Manufacture of desiccated coconut,10308
"Processing and preserving of fruits and vegetables, n.e.c.",10309
Manufacture of virgin coconut oil,10410
"Production of crude vegetable oil, cake and meals, other than virgin coconut oil (see class 1041)",10440
Manufacture of refined coconut and other vegetable oil (including corn oil) and margarine,10450
Manufacture of fish oil and other marine animal oils,10460
"Manufacture of unprepared animal feeds from vegetable, animal oils and fats",10470
"Manufacture of vegetable and animal oil and fats, n.e.c.",10490
Processing of fresh milk and cream,10510
"Manufacture of powdered milk (except for infants) and condensed or evaporated milk (filled, combined or reconstituted)",10520
Manufacture of infantsNULL powdered milk,10530
"Manufacture of butter, cheese and curd",10540
"Manufacture of ice cream and sherbet, ice drop, ice candy and other flavored ices",10550
Manufacture of milk-based infantsNULL and dietetic foods,10560
Manufacture of yoghurt,10570
Manufacture of whey,10580
"Manufacture of dairy products, n.e.c.",10590
"Rice/corn milling

This includes rice milling, husked, milled, polished, glazed, parboiled or converted; production of rice flour, and corn milling.",10610
Cassava flour milling,10621
Flour milling except cassava flour milling,10622
"Manufacture of cereal breakfast foods obtained by roasting or swelling, etc.",10623
Manufacture of unprepared animal feeds from grain milling residues,10624
"Manufacture of flour mixes and prepared blended flour and dough for bread, cakes, biscuits or pancakes",10625
"Manufacture of grain and vegetable mill products, n.e.c.",10629
"Manufacture of starches and starch products

This class includes :
Manufacture of starches from rice, potatoes, maize, etc.
Wet corn milling
Manufacture of glucose, glucose syrup, maltose, inulin, etc.
Manufacture of gluten
Manufacture of tapioca and tapioca substitutes prepared from starch
Manufacture of corn oil
This class excludes :
Manufacture of lactose milk (milk sugar), see 1059;
Production of cane or beet sugar, see 1072.",10630
"Baking of bread, cakes, pastries, pies and similar ""perishable"" bakery products, including hopia and doughnut making",10711
"Baking of biscuits cookies, crackers, pretzels and similar dry bakery products",10712
Manufacture of ice cream cones (apa) and wafers (barquillos),10713
"Manufacture of snack products such as corn curls, wheat crunchies and similar products",10714
Sugarcane milling,10721
Sugar refining,10722
Manufacture of muscovado sugar not carried on in the farm,10723
Manufacture of molasses,10724
Manufacture of coconut sap sugar,10725
"Manufacture of palm sugar (buri, nipa), except coconut",10726
"Manufacture of sugar, n.e.c.",10729
Manufacture of chocolate and cocoa products including chocolate candies,10731
Manufacture of candies (excluding chocolate candies) and chewing gum,10732
Manufacture of popcorn and poprice,10733
"Manufacture of chocolate and sugar confectionery products, n.e.c.",10739
"Manufacture of macaroni, noodles, couscous and similar farinaceous products

This class includes :
Manufacture of pastas such as macaroni, spaghetti, etc. and noodles including instant noodles, misua, bihon, vermicelli (sotanghon), whether or not cooked or stuffed
Manufacture of couscous
Manufacture of canned or frozen pasta products
This class excludes :
Manufacture of prepared couscous dishes, see 1075;
Manufacture of soup containing pasta, see 1079.",10740
"Manufactured of prepared meals and dishes

This class includes manufacture of ready-made (i.e. prepared, seasoned and cooked) meals and dishes, in frozen or canned form. These dishes are usually packaged and labeled for re-sale, i.e. this class does not include the preparation of meals for immediate consumption, such as in restaurants.
This class includes :
Manufacture of fresh or frozen meat or poultry dishes
Manufacture of canned stews, canned or bottled vegetables and vacuum prepared meals
Manufacture of other prepared meals (such as ""TV dinners"", etc.)
Manufacture of frozen fish dishes, including fish and chips
Manufacture of prepared dishes of vegetables
Manufacture of frozen pizza
This class excludes :
Preparation of meals and dishes for immediate consumption, see division 56;
Activities of food service contractors, see 5629.",10750
Manufacture of food supplements from herbs and other plants,10760
"Coffee roasting and processing

This class includes :
Coffee roasting, grinding, decaffeinating or packing
Manufacture of coffee substitutes containing coffee
Manufacture of extracts, essences or concentrates of coffee and preparations with a basis of these products
Chicory roasting and preparation of other roasted coffee substitutes and their essences, extracts or concentrates",10770
Manufacture of nata de coco,10781
"Manufacturing of native delicacies  or ""kakanin"" e.g., bibingka, puto, suman, kalamay, binagol, moron and other similar products",10782
"Manufacture of herb from drying and further extraction (e.g. banaba, ampalaya, moringa (malunggay), sambong, lagundi etc.)",10791
"Manufacture of ice, except dry ice",10792
"Manufacture of soup containing meat, fish, crustaceans, mollusks or pasta",10793
Manufacture of infant or dietetic foods containing homogenized ingredients,10794
Egg processing including fertilized egg (balut) and salted eggs,10795
Manufacture of flavoring extracts and food coloring,10796
"Manufacture of mayonnaise, salad dressing, sandwich spread and similar products",10797
Manufacture of vinegar,10798
"Manufacture of food products, n.e.c.",10799
"Manufacture of prepared animal feeds

This class includes :
Manufacture of prepared feeds for pets, including dogs, cats, birds, fish, etc.
Manufacture of prepared feeds for farm animals, including animal feed concentrated and feed supplements
Preparation consisting of mixtures of materials or of materials specially treated or packaged to make them suitable as feed for dogs, cats, birds, fish or other pet animals
Preparation of unmixed (single) feeds for farm animals
Treatment of slaughter waste to produce animal feeds
This class excludes :
Production of fishmeal for animal, see 1020;
Production of oilseed cake, see 1041;
Activities resulting in by-products usable as animal feed without special treatment, e.g. oil seeds (see 1040), grain milling residues (see 1062).",10800
"Distilling, rectifying and blending of spirits

This class includes :
Manufacture of distilled, potable, alcoholic beverages: whisky, brandy, gin, liquors, ""mixed drinks"", etc.
Blending of distilled spirits
Production of neutral spirits
This class excludes :
Manufacture of ethyl alcohol, see 2011;
Manufacture of non-distilled alcoholic beverages, see 1102, 1103;
Merely bottling and labeling , see 4630 (if performed as part of wholesale) and 8292 (if performed on a fee or contract basis).",11010
Fruit wine manufacturing,11021
"Wine manufacturing, n.e.c.",11029
"Manufacture of malt liquors and malt

This class includes :
Manufacture of malt liquors, such as beer, ale, porter and stout
Manufacture of malt
Manufacture of low alcohol or non-alcoholic beer",11030
"Manufacture of soft drinks except drinks flavored with fruit juices, syrups or other materials",11041
"Manufacture of drinks flavored with fruit juices, syrups or other materials",11042
Manufacture of bottled drinking water,11051
Manufacture of carbonated water,11052
Water purifying and refilling station,11053
"Manufacture of drinking water and mineral water, n.e.c.",11059
Manufacture of sports and energy drink,11060
"Manufacture of other beverages, n.e.c.",11090
Manufacture of cigarettes,12010
Manufacture of cigars,12020
"Manufacture of chewing and smoking tobacco, snuff",12030
Curing and redrying tobacco leaves,12040
"Tobacco manufacturing, n.e.c.",12090
Spinning,13111
Texturizing,13112
Manufacture of paper yarn,13113
"Preparation of textiles, n.e.c.",13119
"Weaving of textiles

This class includes :
Manufacture of broad woven cotton-type, woolen type, worsted-type or silk-type fabrics, including from mixtures or artificial or synthetic yarns
Manufacture of other broad woven fabrics, using flax, ramie, hemp, jute, bast fibers and special yarns
Manufacture of woven pile or chenille fabrics, terry toweling, gauze etc.
Manufacture of woven fabrics of glass fibers
Manufacture of woven carbon and aramid threads
Manufacture of imitation fur by weaving
This class excludes :
Manufacture of textile floor coverings, see 1393;
Manufacture of non-woven fabrics and felts, see 1399;
Manufacture of narrow fabrics, see 1399;
Manufacture of knitted and crocheted fabrics, see 1391.",13120
"Finishing of textiles

This class includes :
Bleaching and dyeing of textile fibers, yarns, fabrics and textile articles, including wearing apparel
Dressing, drying, steaming, shrinking, mending, Sanforizing, mercerizing of textiles and textile articles, including wearing apparel
Bleaching of jeans
Pleating and similar work on textiles
Waterproofing, coating, rubberizing, or impregnating purchased garments
Silk screen- printing on textiles and wearing apparel
This class excludes :
Manufacture of textile fabric impregnated, coated, covered or laminated with rubber, where the rubber is the chief constituent, see 2219.",13130
Preparation and finishing of textiles (integrated),13140
"Manufacture of knitted and crocheted fabrics

This class includes :
Manufacture and processing of knitted or crocheted fabrics : pile and terry fabrics; net and window furnishing type fabrics knitted on Raschel or similar machines, other knitted or crocheted fabrics
Manufacture of imitation fur by knitting
This class excludes :
Manufacture of net and window furnishing type fabrics of lace knitted on Raschel or similar machines, see 1399;
Manufacture of knitted and crocheted apparel, see 1430.",13910
Manufacture of textile industrial bags,13921
Manufacture of made-up textile goods for house furnishings,13922
Manufacture of canvas products,13923
"Manufacture of made-up textile articles, except wearing apparel, n.e.c.",13929
"Manufacture of carpets and rugs, except mats of textile materials",13931
Manufacture of mats (including mattings) of textile materials,13932
"Manufacture of cordage, rope, and twine",13941
"Manufacture of fishing nets and other nettings, (excluding mosquito and hairnets)",13942
"Manufacture of products of cordage, rope and twine",13943
Manufacture of embroidered fabrics,13950
"Manufacture of narrow fabrics, laces, tulles and other net fabrics",13991
Manufacture of felt and non-woven fabrics,13992
"Manufacture of fabrics, impregnated, coated, covered or laminated with plastic",13993
"Manufacture of fabrics, impregnated, coated, covered or laminated other than with plastic and rubber",13994
Manufacture of fabrics for industrial use (wicks and gas mantles),13995
"Manufacture of fiber batting, padding and upholstery filling including coir",13996
"Manufacture of miscellaneous textiles, n.e.c.",13999
MenNULLs and boyNULLs garment manufacturing,14110
WomenNULLs and girlNULLs garment manufacturing,14120
Ready-made embroidered garments manufacturing,14130
BabiesNULL Garment Manufacturing,14140
Manufacture of raincoats by cutting or sewing except rubber or plastics,14191
"Manufacture of hats, gloves, handkerchiefs, neckwear and belts regardless of material",14192
Manufacture of sportswear,14193
"Manufacture of wearing apparel, n.e.c",14199
Custom tailoring,14210
Custom dressmaking,14220
Manufacture of knitted and crocheted apparel,14301
"Manufacture of knitted or crocheted hosiery, underwear and outerwear when knitted or crocheted directly into shape",14302
"Manufacture of knitted and crocheted articles, n.e.c.",14309
Manufacture of articles of fur,14400
"Tanning and dressing of leather

This class includes :
Manufacture of chamois dressed, parchment dressed, patent or metallized leathers
Manufacture of composition leather, i.e. slabs, sheets or strip of a material with a basis of leather or leather fiber
This class excludes :
Production of hides and skins as part of ranching, see 014;
Production of hides and skins as part of slaughtering, see 1011;
Manufacture of leather apparel, see 141;
Manufacture of imitation leather not based on natural leather, see 2219, 2220.",15110
"Manufacture of luggage, handbags and wallets of leather and imitation leather",15121
"Manufacture of products of leather and imitation leather, n.e.c.",15129
Manufacture of leather shoes,15210
Manufacture of rubber shoes,15220
Manufacture of plastic shoes,15230
Manufacture of shoes made of textile materials with applied soles,15240
Manufacture of wooden footwear and accessories,15250
Manufacture of rubber slippers,15291
"Manufacture of slippers and sandals, other than rubber",15292
Manufacture of leather parts of footwear,15293
"Manufacture of other footwear, n.e.c.",15299
Manufacture of rough lumber,16101
Manufacture of worked lumber,16102
Wood preserving and drying,16103
"Sawmilling and planing of wood products, n.e.c.",16109
Manufacture of veneer sheets and plywood,16211
"Manufacture of laminboard, particle board and other panels and board",16212
"Manufacture of wooden window and door screens, shades and venetian blinds",16220
Manufacture of other buildersNULL carpentry and joinery; millworking,16230
"Manufacture of wooden containers

This class includes :
Manufacture of packing cases, boxes, crated, drums and similar packings of wood
Manufacture of pallets, box pallets and other load boards of wood
Manufacture of barrels, vats, tubs and other cooperNULLs products of wood
Manufacture of wooden cable-drums.
This class excludes :
Manufacture of luggage, see 1512;
Manufacture of cases of plaiting material, see 1629.",16240
Manufacture of wood carvings,16250
Manufacture of charcoal outside the forest,16260
Manufacture of wooden wares,16270
Manufacture of rattan and cane containers,16281
"Manufacture of sawali, nipa and split canes",16282
"Manufacture of mats, matting or screen",16283
Manufacture of small cane wares,16284
"Manufacture of articles of cork, straw and plaiting materials",16285
"Manufacture of other products of bamboo, cane, rattan and the like, and plaiting materials except furniture, n.e.c.",16289
"Manufacture of other products of wood; manufacture of articles of cork and plaiting materials, except furniture, n.e.c.",16290
"Integrated pulp, paper and paperboard milling",17011
Pulp milling,17012
Paper and paperboard milling,17013
Manufacture of hand-made paper,17014
"Manufacture of pulp, paper and paperboard, n.e.c.",17019
"Manufacture of corrugated paper and paperboard and of containers of paper and paperboard

This class includes :
Manufacture of corrugated paper and paperboard
Manufacture of containers of corrugated paper and paperboard
Manufacture of folding paperboard containers
Manufacture of containers of solid board
Manufacture of other containers of paper and paperboard
Manufacture of sacks and bags of paper
Manufacture of office box files and similar articles
This class excludes :
Manufacture of envelopes, see 1709;
Manufacture of molded or pressed articles of paper pulp (e.g. boxes for packing eggs, molded pulp paper plates), see 1709.",17020
Manufacture of household and personal hygiene paper and cellulose wadding products,17091
"Manufacture of wadding of textile materials and articles of wadding (e.g. sanitary towels, tampons, etc.)",17092
Manufacture of other articles of paper,17093
Manufacture of other articles of paperboard,17099
"Printing

This class includes :
Printing of newspapers, magazines and other periodicals, books and brochures, music and music manuscripts, maps, atlases, posters, advertising catalogues, prospectuses and other printed advertising, postage stamps, taxation stamps, documents of title, cheques and other security papers, registers, albums, diaries, calendars, business forms and other commercial printed matter, personal stationery and other printed matter by letterpress, offset, photogravure, flexographic and other printing presses, duplication machines, computer printers, embossers, etc., including quick printing.
Printing directly into textiles, plastic, glass, metal, wood and ceramics (except silk-screen printing on textiles and wearing apparel).
The material printed is typically copyrighted.
This class also includes :
Printing on labels or tags (lithographic, gravure printing, flexographic printing, others).
This class excludes :
Silk screen-printing on textiles and wearing apparel, see 1313;
Manufacture of paper articles, such as binders, see 1709;
Publishing of printed matter, see 581;
Photocopying of documents, see 8219.",18110
"Electrotyping, stereotyping and photoengraving",18121
Bookbinding and related work,18122
"Service activities related to printing, n.e.c.",18129
Reproduction of video and computer tapes from master copies,18201
"Reproduction of floppy, hard or  compact disks",18202
Film and video reproduction,18203
"Manufacture of coke oven products

This class includes :
Operation of coke ovens
Production of coke and semi-coke
Production of pitch and pitch coke
Production coke oven gas
Production of crude coal and lignite tars
Agglomeration of coke",19100
"Manufacture of refined petroleum products

This class includes the manufacture of liquid or gaseous fuels or other products from crude petroleum, bituminous minerals or their fractionation products. Petroleum refining involves one or more of the following activities: fractionation, straight distillation of crude oil, and cracking.
This class includes :
Production of motor fuel : gasoline, kerosene, etc.
Production of fuel: light, medium and heavy fuel oil, refinery gases such as ethane, propane, butane etc.
Manufacture of oil-based lubricating oils or greases, including from waste oil
Manufacture of products for the petrochemical industry and for the manufacture of road coverings
Manufacture of various products : white spirit, vaseline, paraffin wax, petroleum jelly, etc.
Manufacture of hard-coal and lignite fuel briquettes
Manufacture of petroleum briquettes
Blending of biofuels, i.e. blending of alcohols with petroleum (e.g. gasohol)",19200
Manufacture of other fuel products,19900
Manufacture of ethanol,20111
Manufacture of industrial (compressed and liquefied) gases,20112
Manufacture of inorganic salts and compounds,20113
Manufacture of ethyl alcohol,20114
Manufacture of alcohol except ethyl,20115
"Manufacture of inorganic acids, alkalis and chlorine",20116
Manufacture of organic acids and organic compounds,20117
"Manufacture of basic chemicals, except fertilizers and nitrogen compounds, n.e.c.",20119
